,carat,cut,color,clarity,depth,table,x,y,z,price
40188,0.43,Ideal,I,VVS1,60.6,57.0,4.88,4.94,2.97,1120
29879,0.3,Very Good,D,VS2,62.8,57.0,4.29,4.31,2.7,710
22138,1.2,Very Good,F,VVS2,63.8,58.0,6.67,6.69,4.26,10173
32515,0.4,Premium,D,SI2,63.0,59.0,4.69,4.64,2.94,798
42735,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1343
1278,0.71,Premium,D,VS2,62.1,60.0,5.72,5.68,3.54,2950
16027,0.3,Premium,I,VS1,60.8,59.0,4.32,4.3,2.62,608
16313,1.01,Very Good,G,VS1,63.5,59.0,6.36,6.31,4.02,6529
38271,0.32,Ideal,J,SI1,61.8,54.9,4.39,4.42,2.72,384
26741,2.2,Ideal,H,SI2,60.0,58.0,8.47,8.5,5.09,16530
44488,0.7,Premium,F,SI2,61.6,60.0,5.78,5.68,3.53,1597
2097,0.77,Ideal,G,VS2,62.1,56.0,5.85,5.88,3.64,3114
14400,1.01,Good,F,VS2,63.1,59.0,6.31,6.37,4.0,5817
35277,0.5,Ideal,I,SI2,62.2,53.0,5.11,5.14,3.19,895
41677,0.5,Ideal,E,SI2,62.4,57.0,5.07,5.03,3.15,1240
11251,1.21,Ideal,J,VS2,59.6,57.0,6.98,6.94,4.15,4968
27029,2.0,Premium,F,SI1,58.8,61.0,8.29,8.23,4.86,17172
14088,1.35,Premium,J,SI1,61.1,61.0,7.13,7.1,4.35,5715
10114,1.02,Premium,G,SI1,62.3,59.0,6.44,6.4,4.0,4718
20750,1.02,Very Good,F,VVS1,62.4,58.0,6.38,6.41,3.99,8990
32622,0.31,Ideal,H,SI1,61.5,56.5,4.34,4.36,2.67,457
41003,0.39,Ideal,E,VVS1,60.8,58.0,4.72,4.76,2.88,1183
15504,1.2,Ideal,I,VS1,62.1,56.5,6.8,6.84,4.23,6210
10551,1.01,Very Good,F,SI1,62.7,56.0,6.37,6.39,4.0,4812
38220,0.43,Premium,F,SI1,60.6,59.0,4.87,4.84,2.94,1016
15725,1.0,Ideal,G,VS1,62.9,57.0,6.36,6.32,3.99,6290
25721,2.03,Ideal,G,SI1,62.0,57.0,8.1,8.05,5.01,14637
17213,1.01,Good,G,VS1,63.8,57.0,6.38,6.35,4.06,6882
4368,0.79,Ideal,D,SI1,61.2,57.0,5.94,5.98,3.65,3605
21822,1.51,Premium,D,SI2,63.0,62.0,7.28,7.23,4.57,9894
6135,0.91,Very Good,E,SI2,60.5,59.0,6.26,6.34,3.81,3986
15059,0.3,Premium,F,VS2,61.6,58.0,4.29,4.31,2.65,605
41881,0.56,Good,D,SI2,63.2,54.0,5.24,5.26,3.32,1258
16451,1.2,Ideal,H,SI1,62.2,58.0,6.81,6.77,4.22,6569
29749,0.36,Very Good,F,VS2,63.1,57.0,4.53,4.51,2.85,708
22401,1.5,Good,G,SI1,63.7,59.0,7.19,7.23,4.59,10428
36492,0.41,Very Good,H,VS2,63.4,58.0,4.77,4.66,2.99,943
53030,0.72,Ideal,I,VVS2,61.6,57.0,5.73,5.76,3.54,2602
32192,0.35,Premium,H,VS1,62.6,58.0,4.52,4.49,2.82,788
13520,1.2,Good,E,SI2,63.3,55.0,6.73,6.77,4.27,5544
29336,0.31,Good,H,VS1,64.0,59.0,4.28,4.25,2.73,698
10918,0.9,Premium,H,VVS1,62.3,59.0,6.15,6.09,3.81,4890
50213,0.72,Good,F,SI1,63.9,62.0,5.7,5.63,3.62,2229
1727,0.32,Very Good,H,VS1,63.0,57.0,4.37,4.39,2.76,561
7991,1.03,Very Good,E,SI2,60.7,63.0,6.48,6.44,3.92,4326
48937,0.7,Very Good,J,VS2,63.3,58.0,5.61,5.63,3.56,2044
3341,0.9,Premium,I,SI1,63.0,60.0,6.08,5.99,3.8,3377
18331,1.01,Ideal,E,VS1,60.4,59.0,6.52,6.5,3.93,7458
31778,0.42,Very Good,E,SI1,62.8,59.0,4.74,4.78,2.99,773
22897,1.51,Ideal,E,SI2,60.5,57.0,7.38,7.42,4.48,10935
3547,0.91,Premium,H,SI1,60.9,58.0,6.26,6.22,3.8,3414
25463,2.1,Very Good,J,VS2,61.3,59.0,8.21,8.27,5.05,14229
16729,0.3,Premium,D,VS1,60.2,59.0,4.39,4.42,2.65,610
22316,1.58,Ideal,J,VVS1,61.5,56.0,7.48,7.5,4.61,10357
51079,0.72,Good,G,SI2,63.7,59.0,5.74,5.65,3.63,2333
19711,1.01,Premium,D,VS1,60.0,58.0,6.6,6.54,3.94,8286
1821,0.9,Good,I,SI2,60.7,58.0,6.17,6.21,3.76,3057
26347,0.32,Very Good,F,VS2,61.1,58.0,4.39,4.42,2.69,645
17549,1.05,Premium,G,VS1,61.6,58.0,6.51,6.48,4.0,7063
16021,0.3,Premium,I,VS1,59.8,60.0,4.36,4.34,2.6,608
3174,0.9,Premium,I,VS2,61.2,62.0,6.19,6.13,3.77,3338
6715,0.3,Ideal,J,VVS2,62.0,54.0,4.3,4.34,2.68,413
17731,1.01,Good,G,VVS2,63.2,59.0,6.27,6.35,3.99,7137
33673,0.3,Very Good,E,VVS2,60.0,55.0,4.36,4.41,2.63,837
25855,2.08,Premium,J,VS2,60.3,59.0,8.29,8.23,4.98,14933
12968,1.12,Ideal,I,VS2,61.2,54.0,6.74,6.77,4.13,5392
24259,1.5,Very Good,E,VS2,59.4,62.0,7.4,7.48,4.42,12474
49998,0.58,Premium,D,VS1,61.4,58.0,5.37,5.34,3.29,2192
45576,0.52,Ideal,E,VS2,61.7,55.0,5.16,5.21,3.2,1689
46428,0.56,Ideal,H,VS1,61.8,55.0,5.29,5.33,3.28,1770
50952,0.74,Good,G,VS2,64.2,53.0,5.72,5.69,3.66,2322
5944,0.93,Good,I,VS2,58.2,60.0,6.41,6.48,3.75,3946
30629,0.26,Ideal,H,VS1,62.1,56.0,4.13,4.15,2.56,448
46183,0.57,Very Good,D,VS2,62.5,59.0,5.28,5.32,3.31,1748
13176,1.12,Very Good,E,SI1,58.8,61.0,6.74,6.8,3.98,5447
36782,0.35,Premium,H,VVS1,60.1,62.0,4.57,4.52,2.73,956
37224,0.4,Ideal,E,VS2,61.1,56.0,4.77,4.75,2.91,975
40135,0.41,Ideal,H,VVS1,62.2,57.0,4.78,4.74,2.96,1115
46539,0.51,Ideal,E,VS2,60.9,56.0,5.2,5.15,3.15,1781
19797,1.09,Ideal,G,VVS2,60.6,57.0,6.62,6.7,4.05,8364
24039,0.38,Premium,H,SI1,59.7,60.0,4.66,4.68,2.79,633
34989,0.34,Ideal,D,VS2,61.6,55.0,4.54,4.48,2.78,881
18075,1.01,Good,D,VS1,62.2,62.0,6.29,6.41,3.95,7303
41075,0.41,Premium,F,VVS2,60.4,58.0,4.84,4.8,2.91,1192
24549,2.05,Very Good,I,SI2,59.8,56.0,8.32,8.41,5.0,12839
16352,0.3,Premium,H,VS2,63.0,59.0,4.29,4.25,2.69,608
17529,1.5,Fair,F,SI2,64.7,59.0,7.13,7.05,4.59,7056
50420,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,2259
31409,0.3,Ideal,G,VVS1,62.7,54.0,4.3,4.34,2.71,764
42753,0.56,Ideal,I,SI1,61.3,56.0,5.28,5.31,3.25,1343
12620,1.0,Premium,G,SI1,62.2,58.0,6.45,6.37,3.99,5292
24815,2.0,Very Good,J,VS1,61.0,51.6,8.14,8.18,4.97,13203
40520,0.52,Very Good,E,SI2,61.1,57.0,5.2,5.24,3.19,1146
9284,1.01,Good,E,SI2,60.2,60.0,6.37,6.42,3.85,4566
42503,0.55,Premium,G,SI1,62.1,56.0,5.28,5.22,3.26,1321
932,0.9,Good,H,SI2,62.7,64.0,6.09,6.0,3.79,2883
33864,0.3,Ideal,E,VS2,62.1,55.0,4.35,4.32,2.69,844
8792,1.06,Very Good,D,SI2,60.9,58.0,6.57,6.63,4.02,4471
22132,1.5,Ideal,I,VS1,62.0,54.0,7.32,7.38,4.56,10164
42248,0.57,Ideal,H,SI1,59.3,60.0,5.44,5.48,3.24,1292
18974,1.59,Premium,J,VS2,62.6,59.0,7.43,7.45,4.66,7811
35446,0.32,Ideal,E,VS2,61.7,55.0,4.42,4.36,2.71,900
20535,1.11,Ideal,G,VVS2,61.8,57.0,6.67,6.64,4.11,8858
53594,0.76,Fair,H,VVS2,64.8,57.0,5.67,5.81,3.71,2699
7301,0.9,Good,E,VS2,64.0,58.0,6.07,6.02,3.87,4203
19899,1.24,Premium,G,VS1,62.0,55.0,6.95,6.89,4.29,8449
49906,0.75,Very Good,H,SI2,63.0,58.0,5.76,5.79,3.64,2180
42039,0.53,Ideal,H,SI1,61.0,56.0,5.23,5.26,3.2,1268
50685,0.74,Ideal,H,SI2,61.4,56.0,5.78,5.84,3.57,2289
31474,0.34,Premium,H,VS1,61.3,56.0,4.53,4.48,2.76,765
25057,2.01,Premium,J,VS2,61.5,60.0,8.13,8.07,4.98,13572
36106,0.42,Very Good,F,SI1,63.3,56.0,4.79,4.75,3.02,926
29265,0.31,Premium,E,SI1,60.1,61.0,4.4,4.35,2.63,698
13110,1.24,Very Good,J,VS1,59.1,62.0,7.06,7.04,4.17,5427
35238,0.43,Very Good,E,SI1,63.4,56.0,4.82,4.8,3.05,894
52208,0.61,Very Good,D,VS1,60.9,56.0,5.49,5.51,3.35,2481
21512,1.56,Good,I,VS2,57.2,62.0,7.66,7.72,4.4,9609
21265,1.57,Ideal,H,SI1,61.8,55.0,7.47,7.51,4.63,9416
29668,0.35,Very Good,G,VS1,60.7,61.0,4.54,4.58,2.77,706
19895,1.51,Very Good,H,SI2,60.2,59.0,7.33,7.43,4.44,8444
43124,0.51,Very Good,E,SI1,62.1,60.0,5.08,5.03,3.14,1386
29819,0.3,Premium,D,SI1,62.3,59.0,4.25,4.22,2.64,709
9727,1.12,Premium,F,SI2,60.5,59.0,6.79,6.73,4.09,4654
25753,1.53,Premium,G,VS1,62.6,60.0,7.39,7.3,4.6,14699
30811,0.41,Ideal,H,VS2,61.5,55.0,4.78,4.81,2.95,743
50903,0.72,Very Good,G,SI1,63.3,53.0,5.73,5.68,3.61,2318
50343,0.67,Good,F,VS1,64.4,57.0,5.55,5.6,3.6,2244
29528,0.3,Ideal,E,VS1,62.2,53.8,4.3,4.33,2.68,703
18156,1.02,Ideal,G,VS1,61.5,55.0,6.49,6.52,4.0,7357
36170,0.32,Ideal,F,IF,60.3,58.0,4.45,4.5,2.7,929
37199,0.4,Good,G,VVS2,61.4,64.0,4.65,4.7,2.87,974
10801,1.06,Premium,F,SI1,62.4,58.0,6.56,6.51,4.07,4862
20874,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,9092
36640,0.39,Ideal,E,VS1,62.0,54.0,4.68,4.71,2.91,948
43503,0.43,Ideal,F,VVS1,62.3,55.0,4.88,4.85,3.03,1422
13805,1.13,Very Good,H,VS2,61.7,56.0,6.65,6.73,4.13,5625
2377,0.32,Very Good,I,VVS2,63.0,57.0,4.33,4.37,2.74,561
11822,1.12,Good,H,SI1,59.8,61.0,6.72,6.85,4.06,5094
42582,0.51,Very Good,E,SI1,63.0,58.0,4.99,5.08,3.17,1330
39552,0.32,Premium,G,VVS1,60.9,61.0,4.4,4.37,2.67,1080
20508,1.7,Premium,I,VS1,61.5,58.0,7.74,7.64,4.73,8840
14011,1.02,Very Good,F,SI1,63.7,56.0,6.34,6.41,4.06,5701
24918,1.91,Premium,I,SI1,60.9,53.0,8.11,8.07,4.93,13367
35439,0.32,Ideal,E,VS2,62.2,56.0,4.41,4.37,2.73,900
24598,2.0,Fair,I,VS1,66.3,54.0,7.98,7.88,5.26,12907
13626,1.01,Ideal,G,SI1,62.6,56.0,6.41,6.44,4.02,5576
45622,0.55,Ideal,F,VS2,61.7,56.0,5.26,5.3,3.26,1692
53781,0.58,Ideal,F,VVS1,61.6,57.0,5.33,5.38,3.3,2728
18143,1.0,Very Good,F,VS1,63.7,57.0,6.33,6.35,4.04,7350
26884,2.09,Very Good,F,SI2,62.7,61.0,8.07,8.14,5.08,16824
29370,0.31,Very Good,G,VS2,63.4,59.0,4.32,4.29,2.73,698
19359,0.27,Very Good,D,VVS2,62.3,57.0,4.13,4.15,2.58,622
13912,1.06,Very Good,H,SI1,59.3,59.0,6.66,6.7,3.96,5664
45580,0.52,Very Good,G,VS1,62.4,60.0,5.11,5.12,3.19,1689
15936,1.05,Very Good,D,VS2,62.9,57.0,6.39,6.51,4.06,6373
26466,2.17,Good,H,SI2,58.9,62.0,8.48,8.52,5.01,16036
20445,1.51,Good,F,VS2,64.0,59.0,7.16,7.08,4.56,8794
8637,0.93,Good,G,SI1,63.8,58.0,6.09,6.14,3.9,4452
11792,0.9,Premium,F,VS1,62.7,58.0,6.14,6.17,3.86,5088
40487,0.4,Very Good,E,VVS1,63.8,56.0,4.68,4.72,3.0,1142
41188,0.51,Premium,H,VS2,60.9,60.0,5.19,5.16,3.15,1202
47442,0.7,Good,H,SI2,63.8,57.0,5.58,5.55,3.55,1856
13205,1.11,Ideal,H,SI1,62.3,55.0,6.7,6.65,4.16,5456
23606,2.01,Premium,H,SI2,61.5,59.0,8.12,8.08,4.98,11635
23297,1.11,Very Good,E,VVS1,60.2,59.0,6.67,6.79,4.05,11330
31425,0.3,Ideal,H,IF,61.5,58.0,4.28,4.3,2.64,764
30100,0.32,Ideal,H,VS1,63.0,57.0,4.35,4.32,2.73,720
50416,0.71,Ideal,H,SI2,59.4,57.0,5.87,5.81,3.47,2258
33760,0.4,Premium,G,SI1,59.6,61.0,4.76,4.74,2.83,840
52392,0.58,Ideal,G,IF,60.9,57.0,5.39,5.46,3.3,2508
13700,1.13,Premium,G,SI1,60.9,58.0,6.75,6.72,4.1,5600
34403,0.34,Ideal,H,IF,61.8,54.0,4.51,4.55,2.8,863
25973,2.16,Very Good,G,SI2,62.6,55.0,8.2,8.25,5.14,15166
43936,0.3,Premium,D,SI1,62.1,59.0,4.29,4.31,2.67,515
51663,0.7,Very Good,I,VVS2,63.1,57.0,5.63,5.68,3.57,2398
44391,0.51,Very Good,E,VS1,58.1,60.0,5.28,5.32,3.08,1583
33759,0.4,Very Good,G,SI1,63.1,56.0,4.75,4.72,2.99,840
16404,0.63,Ideal,D,IF,62.5,55.0,5.47,5.5,3.43,6549
51871,0.52,Ideal,F,IF,60.3,60.0,5.24,5.27,3.17,2427
47257,0.5,Very Good,G,VVS1,61.5,56.0,5.11,5.14,3.15,1843
10664,1.2,Fair,J,SI1,65.2,58.0,6.67,6.58,4.32,4838
11706,0.34,Premium,G,VS2,61.0,58.0,4.46,4.49,2.73,596
52793,0.7,Good,E,SI1,63.8,57.0,5.59,5.63,3.58,2569
48644,0.27,Ideal,E,VS2,60.8,56.0,4.25,4.23,2.58,537
5593,0.9,Very Good,E,SI1,62.3,61.0,6.12,6.17,3.83,3868
46279,0.56,Very Good,E,VS2,61.7,56.0,5.25,5.31,3.26,1755
48857,0.5,Ideal,D,VS1,62.2,54.4,5.07,5.11,3.16,2033
8254,0.76,Ideal,D,VS1,61.7,56.0,5.84,5.87,3.61,4377
3335,1.01,Ideal,F,I1,62.2,54.0,6.42,6.44,4.0,3377
28434,0.3,Ideal,E,VS1,61.8,56.0,4.32,4.35,2.68,670
37342,0.31,Ideal,D,VVS2,62.4,56.0,4.38,4.34,2.72,982
36465,0.31,Ideal,D,VS2,62.7,57.0,4.34,4.3,2.71,942
29096,0.36,Premium,D,SI2,61.2,59.0,4.59,4.56,2.8,689
12231,1.01,Good,H,SI1,59.5,62.0,6.49,6.55,3.88,5197
51206,0.73,Premium,G,SI1,62.8,59.0,5.76,5.68,3.59,2351
12044,0.4,Good,G,SI2,63.4,59.0,4.64,4.66,2.95,596
4013,0.79,Very Good,F,SI1,62.9,57.0,5.86,5.94,3.71,3519
23636,1.01,Ideal,D,VVS1,62.5,55.0,6.39,6.44,4.01,11661
47690,0.57,Very Good,E,VS1,62.9,57.0,5.27,5.29,3.32,1883
38969,0.28,Ideal,G,VS1,62.1,55.0,4.22,4.25,2.63,490
16870,1.0,Very Good,E,VS2,61.9,57.0,6.35,6.38,3.94,6732
27087,2.15,Ideal,H,SI2,61.8,57.0,8.3,8.24,5.11,17219
5061,0.34,Premium,F,SI2,60.0,58.0,4.58,4.55,2.74,574
11949,1.01,Very Good,E,SI1,62.8,60.0,6.38,6.39,4.01,5132
4891,1.04,Ideal,F,I1,61.6,57.0,6.51,6.46,4.0,3718
50806,0.61,Ideal,F,VS1,60.7,56.0,5.52,5.49,3.34,2306
17147,1.01,Premium,G,VVS2,61.4,58.0,6.46,6.51,3.98,6843
48267,0.52,Ideal,H,IF,62.1,57.0,5.13,5.16,3.19,1956
23630,1.14,Premium,F,VVS1,59.4,59.0,6.87,6.8,4.06,11654
18688,1.5,Premium,F,SI2,58.5,60.0,7.52,7.48,4.39,7644
28401,0.35,Good,G,SI1,63.8,54.0,4.48,4.46,2.85,669
10452,1.14,Premium,I,SI1,60.1,60.0,6.81,6.76,4.08,4788
1149,0.75,Very Good,E,SI1,62.3,58.0,5.78,5.81,3.61,2923
7817,1.0,Very Good,D,SI2,63.5,59.0,6.35,6.32,4.02,4295
26678,0.26,Very Good,I,VVS2,62.7,55.0,4.09,4.12,2.57,427
16385,1.23,Very Good,H,SI1,62.3,58.0,6.79,6.83,4.24,6542
41529,0.42,Ideal,G,VVS1,61.1,56.0,4.87,4.82,2.96,1235
13895,1.02,Premium,E,SI1,59.2,56.0,6.63,6.57,3.91,5655
8405,1.07,Premium,G,SI2,62.9,59.0,6.58,6.51,4.12,4401
22854,1.01,Premium,E,VVS1,61.6,58.0,6.57,6.45,4.01,10888
35416,0.4,Very Good,G,SI1,60.0,63.0,4.8,4.76,2.87,900
13451,1.03,Premium,H,VS1,62.0,59.0,6.45,6.48,4.01,5523
49529,0.59,Very Good,F,SI1,63.1,57.0,5.39,5.36,3.39,2124
11163,1.04,Premium,G,SI1,62.6,55.0,6.49,6.42,4.04,4948
4224,0.83,Ideal,H,VVS1,61.7,57.0,6.02,6.07,3.73,3570
16357,0.3,Very Good,H,VS2,63.5,59.0,4.27,4.2,2.69,608
697,0.71,Premium,E,SI1,62.7,58.0,5.73,5.66,3.57,2853
24788,1.52,Very Good,G,VS2,61.9,56.0,7.28,7.39,4.54,13161
34533,0.33,Very Good,G,VVS1,62.8,59.0,4.38,4.44,2.77,868
6061,1.2,Premium,H,SI2,62.1,57.0,6.84,6.69,4.21,3965
48874,0.71,Very Good,F,SI2,60.9,56.0,5.8,5.83,3.54,2036
30902,0.39,Ideal,G,VS2,60.7,54.0,4.74,4.77,2.89,745
19309,1.0,Premium,D,VS1,62.7,60.0,6.36,6.31,3.97,8020
22934,1.4,Ideal,H,IF,60.9,57.0,7.22,7.29,4.42,10976
4861,1.0,Premium,J,SI1,60.8,58.0,6.39,6.44,3.9,3712
8517,1.04,Ideal,F,SI1,62.1,56.0,6.54,6.47,4.04,4426
18227,1.51,Very Good,I,SI2,62.5,59.0,7.27,7.32,4.56,7400
41818,0.43,Ideal,F,VVS2,61.9,56.0,4.87,4.82,3.0,1250
13915,1.29,Premium,I,VS1,61.1,58.0,7.03,6.98,4.28,5664
22232,1.55,Ideal,I,VS1,61.2,55.0,7.49,7.47,4.58,10286
21009,1.64,Premium,H,SI2,61.9,58.0,7.58,7.54,4.68,9224
24202,1.11,Ideal,D,VVS2,62.3,56.0,6.59,6.64,4.12,12390
37169,0.32,Ideal,D,VS2,62.5,56.0,4.45,4.38,2.76,972
204,0.98,Fair,H,SI2,67.9,60.0,6.05,5.97,4.08,2777
4691,0.79,Ideal,H,VVS1,62.0,56.0,5.92,5.96,3.68,3675
44819,0.5,Ideal,E,VS2,61.6,55.0,5.09,5.14,3.15,1624
8060,0.27,Ideal,F,VVS2,60.0,62.0,4.21,4.22,2.53,583
12922,1.03,Ideal,I,VS2,61.2,56.0,6.5,6.51,3.98,5378
11849,1.04,Premium,H,VVS1,60.4,58.0,6.58,6.53,3.96,5102
3066,0.81,Premium,G,VS1,62.1,58.0,5.96,5.92,3.69,3311
36450,0.31,Premium,D,VS2,61.2,59.0,4.37,4.32,2.66,942
7470,1.0,Premium,F,SI1,62.1,60.0,6.29,6.23,3.88,4234
36929,0.41,Ideal,G,VS1,61.5,56.0,4.79,4.77,2.94,961
31286,0.36,Ideal,F,SI2,62.2,55.0,4.57,4.59,2.85,450
25126,2.02,Premium,E,SI2,59.9,58.0,8.18,8.14,4.89,13677
44525,0.5,Ideal,E,SI1,61.3,56.2,5.12,5.14,3.15,1601
49113,0.6,Good,E,VS1,58.1,63.0,5.53,5.63,3.24,2065
53196,0.77,Very Good,G,SI1,62.7,57.0,5.79,5.85,3.65,2633
9411,1.01,Very Good,D,SI2,62.2,60.0,6.4,6.43,3.99,4588
3986,1.02,Premium,J,VS2,61.6,58.0,6.4,6.35,3.93,3513
47285,0.3,Good,I,SI1,63.4,57.0,4.23,4.25,2.69,394
51382,0.71,Very Good,H,VS2,61.8,58.0,5.66,5.7,3.51,2368
21161,1.23,Premium,F,VS1,61.3,60.0,6.9,6.94,4.24,9319
25315,1.53,Ideal,G,VS1,62.2,56.0,7.36,7.31,4.56,13994
33429,0.32,Ideal,G,VS1,61.2,56.0,4.44,4.42,2.71,828
17695,1.0,Good,G,VVS1,63.8,60.0,6.35,6.31,4.04,7134
12101,1.09,Very Good,E,SI2,62.2,58.0,6.54,6.61,4.09,5165
17680,1.01,Premium,F,VS1,62.4,61.0,6.39,6.36,3.98,7127
46003,0.54,Ideal,D,VS2,61.2,56.0,5.24,5.28,3.22,1725
52740,0.81,Ideal,E,SI2,62.0,55.0,6.0,5.96,3.71,2559
37566,0.34,Ideal,H,IF,60.8,56.0,4.56,4.55,2.77,988
21992,1.07,Ideal,F,VVS2,62.3,57.0,6.56,6.58,4.09,10061
40964,0.37,Ideal,E,VVS1,61.5,56.0,4.64,4.59,2.84,1179
16794,1.02,Very Good,G,VS1,61.9,58.0,6.44,6.48,4.0,6694
1783,0.83,Ideal,E,SI2,61.9,53.0,6.08,6.04,3.75,3049
10666,0.9,Premium,F,VS2,62.3,58.0,6.16,6.14,3.83,4838
20679,1.1,Ideal,D,VS2,62.0,56.0,6.58,6.61,4.09,8959
46327,0.5,Very Good,D,VS2,60.8,56.0,5.14,5.16,3.13,1758
43556,0.52,Ideal,E,SI1,63.0,54.0,5.15,5.11,3.23,1429
15533,1.47,Premium,J,SI2,60.0,58.0,7.36,7.31,4.4,6223
41223,0.43,Premium,G,VVS1,60.3,58.0,4.87,4.91,2.95,1207
37685,0.43,Premium,D,SI1,61.0,57.0,4.88,4.85,2.97,993
49695,0.51,Ideal,G,IF,62.9,58.0,5.07,5.11,3.2,2146
19627,1.51,Good,I,SI1,63.7,61.0,7.15,7.11,4.54,8245
39146,0.32,Ideal,E,VVS1,62.2,55.0,4.41,4.37,2.73,1061
24194,1.6,Ideal,F,SI1,62.2,55.0,7.47,7.5,4.65,12379
50535,0.5,Very Good,E,VVS2,62.4,55.0,5.08,5.11,3.18,2275
26745,2.0,Good,I,VS2,63.3,56.0,7.98,8.03,5.07,16544
5816,0.8,Ideal,F,VS2,61.3,55.0,5.98,6.0,3.67,3913
45808,0.52,Good,F,VS1,61.2,62.0,5.12,5.05,3.11,1710
12832,1.05,Premium,D,SI1,61.6,61.0,6.55,6.5,4.02,5351
24172,1.6,Premium,F,SI1,60.5,58.0,7.62,7.53,4.58,12343
12488,1.02,Very Good,H,VS2,63.3,60.0,6.42,6.38,4.05,5255
30023,0.3,Ideal,D,VS1,62.2,57.0,4.26,4.29,2.66,718
31679,0.26,Ideal,E,VVS2,62.3,57.0,4.09,4.06,2.54,769
36236,0.33,Premium,D,VS1,60.3,61.0,4.51,4.48,2.71,933
36917,0.41,Ideal,G,VS1,60.8,57.0,4.84,4.8,2.93,961
42511,0.51,Ideal,F,SI1,61.2,56.0,5.19,5.21,3.18,1322
29719,0.31,Good,G,VVS2,63.8,56.0,4.24,4.28,2.72,707
18364,0.37,Premium,F,SI1,61.5,59.0,4.59,4.62,2.83,616
24080,1.65,Ideal,H,VVS2,62.1,56.0,7.68,7.65,4.76,12225
44434,0.48,Ideal,H,VVS2,62.5,56.0,4.98,5.02,3.12,1590
11129,1.5,Fair,H,I1,66.6,54.0,7.05,7.01,4.68,4939
53003,0.7,Premium,F,SI1,59.5,57.0,5.81,5.79,3.45,2596
38715,0.53,Ideal,J,SI1,61.4,56.0,5.2,5.23,3.2,1042
14736,1.01,Ideal,F,SI1,61.7,56.0,6.45,6.48,3.99,5932
43101,0.57,Very Good,E,SI2,58.8,57.3,5.42,5.46,3.21,1384
51766,0.7,Very Good,D,SI1,61.0,59.0,5.67,5.7,3.47,2409
13779,1.27,Premium,D,SI2,58.9,59.0,7.14,7.02,4.17,5618
51396,0.73,Very Good,I,VS2,62.2,57.0,5.75,5.76,3.58,2369
46706,0.7,Premium,F,SI2,61.2,59.0,5.75,5.72,3.51,1792
52591,0.72,Very Good,F,SI1,62.3,57.0,5.72,5.77,3.58,2540
1934,0.61,Ideal,E,VVS1,62.2,56.0,5.43,5.47,3.39,3084
21605,1.52,Ideal,G,SI1,60.7,57.0,7.41,7.38,4.49,9704
43275,0.3,Ideal,I,SI1,62.2,57.0,4.27,4.25,2.65,506
5007,0.92,Good,E,SI2,61.8,59.0,6.11,6.19,3.8,3744
16726,0.33,Ideal,H,SI1,63.0,57.0,4.41,4.39,2.77,610
37403,0.38,Ideal,D,VS1,61.9,53.5,4.66,4.69,2.9,983
52788,0.58,Very Good,E,VVS1,59.4,63.0,5.42,5.32,3.19,2568
39786,0.39,Premium,G,VVS1,59.9,59.0,4.73,4.75,2.84,1095
46902,0.56,Ideal,D,SI1,62.3,56.0,5.33,5.26,3.3,1814
13202,1.06,Very Good,H,VS1,62.2,59.0,6.47,6.52,4.04,5456
24256,1.3,Ideal,G,IF,62.3,56.0,6.95,6.99,4.34,12467
20286,1.27,Ideal,G,VS2,62.8,54.0,6.92,6.87,4.33,8705
50740,0.64,Very Good,D,VS2,62.2,58.0,5.49,5.54,3.43,2297
35659,0.31,Premium,G,VVS2,62.9,58.0,4.31,4.27,2.7,907
30122,0.32,Ideal,G,VS2,62.5,56.0,4.42,4.38,2.75,720
45633,0.25,Very Good,G,VVS1,61.7,56.0,4.07,4.09,2.51,525
25188,2.01,Ideal,I,SI2,62.5,55.0,8.12,8.08,5.06,13777
37002,0.55,Very Good,J,SI1,62.5,57.0,5.22,5.24,3.27,965
40289,0.3,Ideal,H,VS2,61.9,55.0,4.28,4.31,2.66,496
19212,1.21,Ideal,E,SI1,62.1,56.0,6.83,6.88,4.26,7955
32893,0.36,Ideal,E,SI1,62.4,55.0,4.58,4.55,2.85,810
27828,0.39,Very Good,E,SI2,63.0,61.0,4.62,4.65,2.92,650
41167,0.38,Premium,F,VVS1,61.6,58.0,4.63,4.66,2.86,1200
40281,0.3,Ideal,I,VVS2,62.2,56.0,4.25,4.3,2.66,495
49566,0.72,Ideal,H,SI2,61.5,56.0,5.8,5.75,3.55,2131
8011,1.15,Premium,E,SI2,61.7,60.0,6.78,6.7,4.16,4328
33955,0.23,Very Good,E,VVS2,60.2,57.0,3.99,4.05,2.42,465
22624,1.5,Very Good,H,VS1,60.7,58.0,7.35,7.42,4.48,10681
10261,1.01,Good,E,SI2,63.7,58.0,6.36,6.32,4.04,4751
47375,0.57,Ideal,D,SI1,62.4,56.0,5.32,5.29,3.31,1847
43794,0.7,Good,J,SI1,64.3,56.0,5.62,5.57,3.6,1442
230,0.72,Very Good,F,VS2,63.0,54.0,5.69,5.73,3.6,2784
29511,0.4,Very Good,G,SI1,61.6,59.0,4.66,4.72,2.89,702
28171,0.36,Good,H,SI1,63.6,57.0,4.53,4.49,2.87,665
